id,product_name,description,category,price
ac7a7718-367c-4e4c-970f-a6398fad1612,Honey Lemon Tea,"Refreshing tea with honey and lemon flavor, perfect for a warm drink.",Food - Beverages,3.29
6ee3d32a-228d-4a54-b84a-1b1ca3baa485,Chocolate Avocado Pudding,Rich and creamy pudding made with ripe avocados and cocoa.,Food - Desserts,4.99
8868c022-83c0-457b-8414-3e8271741739,Curried Lentil Salad,"A hearty salad with lentils, veggies, and curry dressing.",Food - Salads,4.29
7de5ca69-5eec-4a84-9bec-a2af6fbe04d0,Athletic Sports Bra,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",Clothing - Activewear,24.99
1d9bd0a6-df31-40a7-88c1-c1f9a2d0ac44,Stainless Steel Travel Mug,Insulated mug to keep drinks hot on the go.,Kitchen,19.99
1f6dd6a4-bbcf-4536-8e02-6b7ab2c4e9df,Lemon Zest Olive Oil,High-quality olive oil infused with fresh lemon zest.,Food - Oils & Vinegars,8.99
2efc08e3-c143-493b-a032-2ee7e5a607bb,Nut Butter Cups,Delicious dark chocolate with creamy nut butter inside.,Food - Snacks,3.99
e2d308cb-71cd-4611-90e1-34d30ac37dc2,Car Sunshade,Windshield sunshade for car interior protection.,Automotive,19.99
b40d3ebb-8fea-4760-9386-e0c4cdb6dcd9,Teriyaki Chicken Skewers,Grilled chicken skewers glazed with teriyaki sauce.,Food - Meat,8.99
38cdddf9-b88c-4d05-914e-16e49b6cc53e,Frozen Mixed Berries,"A mix of strawberries, blueberries, and raspberries.",Food - Frozen Foods,5.99
a13950ec-7c53-4df5-a476-f6e0298d37a2,Quinoa Salad,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",Food - Prepared Foods,5.99
defd09d1-5a8c-45ef-9ff4-a73229b48e85,Sriracha Honey Glaze,"A spicy glaze made with sriracha and honey, perfect for meats.",Food - Sauces,3.59
fd14cb29-fa03-4b94-8b5b-77f059710768,Caraway Rye Bread,Artisan bread with caraway seeds for added flavor.,Food - Bakery,4.79
6036cf8e-5d2d-4feb-80bb-9e8f0b86dfd6,Relaxed Fit Henley Shirt,"A comfortable henley shirt made of soft cotton, perfect for casual outings.",Clothing - Tops,29.99
4133e89b-e866-4ade-bf71-2452c1e91d54,Motorcycle Phone Mount,Universal mount for smartphones on motorcycles.,Automotive,14.99
c533c7f8-4bf4-4624-996c-3be164494d27,Shatterproof Wine Glasses,"Durable, unbreakable wine glasses for outdoor use.",Outdoor,24.99
47016a7a-27a6-42f8-924a-51a1b941eb6e,Garlic Naan Bread,"Soft and delicious garlic-infused flatbread, perfect for dipping.",Food - Bakery,3.99
