id,product_name,description,category,price
4b24c2c3-a26f-4112-9c51-18a88048a155,Electric Bike,Eco-friendly electric bike with a 30-mile range.,Bicycles,899.99
8802d555-2103-4aaf-b25f-04c902675eb9,Pet Grooming Brush,Self-cleaning grooming brush for cats and dogs.,Pets,19.99
1568af1b-d3b0-4708-966b-d357a19644c0,Beef Chili,"Hearty beef chili, ready to heat and eat.",Food - Canned Goods,4.5
43d2e5be-ffda-4a97-9fd6-16a859e942e7,Salsa Verde,"Tangy green salsa made with tomatillos, perfect for tacos.",Food - Condiments,3.49
86a6aa30-eca7-4f57-b206-e5aa053995f7,Adjustable Laptop Stand,Ergonomic stand for laptops to improve posture while working.,Office,29.99
24153669-914f-45fa-91b6-73a4b595fd0d,Car Diagnostic Scanner,Tool to check car engine codes and performance issues.,Automotive,49.99
299f6047-3252-4646-89e8-5090a03bc10e,Garlic Herb Marinade,"A savory marinade for meats, perfect for grilling.",Food - Marinades,3.29
4def1644-203b-466a-9e82-794ec7e6cb20,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,Kitchen,19.99
fa878383-0d3a-4618-9d9a-d6124cd5a408,Car Vacuum,Portable car vacuum cleaner with strong suction.,Automotive,49.99
8e1e58a8-10da-4be7-be9a-ec65eb3f3c5c,Vegetable Stir Fry Mix,A mix of fresh vegetables for quick stir-fries.,Food - Fresh Produce,3.29
a3a558c7-73bb-48c8-98d6-e100539df511,Coconut Chia Pudding,Creamy chia pudding made with coconut milk and topped with mango.,Food - Dairy,3.49
cd3116f2-1892-43be-a634-b8762c25bea4,Chia Seed Pudding Mix,Mix to create a delicious chia seed pudding in just a few minutes.,Food - Breakfast,4.19
21df9b81-c520-4271-aadf-9a09221e0d6e,Organic Granola,Healthy granola made with oats and honey.,Food - Breakfast,5.49
06f87e30-06b1-4454-8448-85b76d0c14e6,Chopping Board,Reversible bamboo chopping board for food prep.,Kitchen,29.99
9717be18-0913-4d47-8934-c685f46df767,Incense Holder,Ceramic incense holder for a calming atmosphere.,Home,14.99
67d368cf-9a08-4adc-8219-036f7b7286ed,Pesto Pasta Salad,Cold pasta salad tossed with pesto and fresh vegetables.,Food - Prepared Foods,4.99
ca47eb5c-c249-4828-a713-a0ab7a18e8b3,Ginger Tea,A soothing herbal tea made from ginger root.,Food - Beverages,4.99
cb0ffe87-1d05-4787-b976-fd794ccc68e8,Warm Wool Sweater,Cozy wool sweater to keep you warm on chilly days.,Clothing - Tops,59.99
ccc92c6a-deb1-4821-9982-0fd85f826aea,Chocolate Hazelnut Spread,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",Food - Spreads,5.99
df12fa44-ce6c-4991-b47f-27caab100c56,Coconut Chia Pudding,Creamy chia pudding made with coconut milk and topped with mango.,Food - Dairy,3.49
8ad3325a-63c7-4b0e-8fb0-07143ec1262b,Spicy Kimchi,"Traditional Korean fermented vegetables, packed with flavor.",Food - Condiments,4.79
ce390bae-0296-4dbf-af9a-721fc42dc8d2,Fitness Smartwatch,Multifunctional smartwatch for fitness tracking.,Wearable Tech,99.99
f8aa7da8-d90e-4164-8c9d-735e5051585c,Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,Food - Prepared Meals,5.99
77b0a6ac-17d2-46df-b5b5-672bcbdc7f77,Picnic Blanket,Waterproof picnic blanket for outdoor fun.,Outdoor,29.99
edccee17-1528-4bcc-9420-17152f21b9d9,Fruit & Nut Trail Mix,"A blend of dried fruits and nuts, great for snacking.",Food - Snacks,4.99
aa2f56a2-4512-4ac0-a625-fa389ab04a68,Slim Wallet,RFID-blocking slim wallet for cards and cash.,Accessories,24.99
52ae07f6-563e-49c5-9cc3-c66388092129,Fresh Basil Pesto,"A fresh, flavorful basil pesto for pasta and more",Food - Sauces,4.79
5aa1d3b8-95ce-4c6b-9ef1-58c855d189d8,Set of Silicone Baking Molds,Flexible molds perfect for baking cakes and pastries.,Kitchen,15.99
3d142aa7-1c23-4d89-963e-d02c73717014,Fettuccine Alfredo Dinner Kit,Easy meal kit for creamy fettuccine Alfredo.,Food - Prepared Meals,5.49
ee3b1719-367c-4fcb-bf0a-f7253309e038,Sweet Potato Tots,"Crispy sweet potato bites, delicious as a side or snack.",Food - Frozen Foods,4.29
adf94c0c-a97e-486f-8cae-f6e962322dd0,Lentil Vegetable Curry,A flavorful lentil curry cooked with vegetables and spices.,Food - Prepared Meals,4.49
9e8991a4-a653-477d-98f6-2150cb2e2b91,Garlic & Herb Goat Cheese,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",Food - Dairy,5.49
ddfc2a73-d37a-4cf5-b2f7-3a1fdfc96ece,Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,Food - Snacks,12.99
5c3281bc-8814-44da-8c0a-0904b2f21ad2,Savory Italian Herbs,A blend of dried Italian herbs for cooking.,Food - Spices,2.99
6efdb267-5bcf-4785-8411-af571f4b409a,Luxury Memory Foam Mattress Topper,Adds extra comfort to your mattress for a better night's sleep.,Home,129.99
b541628b-8f74-455b-969b-c0d42163582b,Travel Document Organizer,"Organize travel documents, passport, and cards.",Travel,15.99
22b7d716-1ccd-4bff-a115-0f4b4007188a,Electric Stool Heater,Heated stool cover for extra comfort during winter.,Home,29.99
ba0f1374-299d-478b-9c33-78290d6e503d,Peanut Butter Chocolate Chip Bars,Chewy bars made with peanut butter and chocolate chips.,Food - Snacks,4.59
3a9a78f9-9049-4c2d-93c2-596661878093,Sun Protection Clothing,UV-blocking clothing for outdoor activities.,Clothing,44.99
5c7e8464-c967-4d79-b02b-003276c6a776,Oven Thermometer,High-precision oven thermometer for accurate cooking.,Kitchen,11.99
af12991e-12f6-41b9-bdce-999a35146211,Instant Read Meat Thermometer,Fast and accurate thermometer for grilling and cooking.,Kitchen,24.99
86d1724d-97ef-46eb-8a1c-16505fcf3207,Spinach and Ricotta Ravioli,Delicious ravioli filled with creamy ricotta and fresh spinach.,Food - Pasta,6.49
f3f34e85-4714-40fa-88e5-68ed5b716ba4,Electric Can Opener,Automatic can opener for easy meal prep.,Kitchen,29.99
34a1b4ac-128f-466f-beab-f3ca6a66f33e,Marinara Parmesan Baked Ziti,Ziti pasta baked with marinara and parmesan cheese,Food - Frozen Meals,8.49
