id,product_name,description,category,price
4f4bb454-b076-4ff5-8f07-63456fcd22e0,Honey Almond Granola Bars,Chewy granola bars made with honey and almonds.,Food - Snacks,3.99
1cc45430-2f59-433e-807a-e7cd80292385,Sea Salt Tortilla Chips,"Crunchy tortilla chips with a hint of sea salt, great with dips.",Food - Snacks,2.49
ad2ec5a8-87e8-4ddb-a0d8-8e5da3956b73,Chicken Salad Kit,All-in-one kit for making delicious chicken salad.,Food - Prepared Foods,5.99
5278309c-dd09-40ce-8e32-d472bbc4221e,Portable Speaker Stand,Adjustable stand for portable speakers and devices.,Audio,39.99
b24a97f6-a700-4dee-89f8-7d3c93dc93df,Set of Silicone Baking Molds,Flexible molds perfect for baking cakes and pastries.,Kitchen,15.99
b8138929-9ffb-453d-b316-254a2dbe9e89,Classic Leather Wallet,A sleek leather wallet that combines style and functionality.,Clothing - Accessories,34.99
fd2046e8-6f35-4a13-97bc-bb974b3cb974,Coconut Almond Granola,"Crunchy granola made with oats, almonds, and coconut flakes.",Food - Breakfast,4.99
42c03b15-c5ba-44f1-89bb-3eb133b5e56e,Streaming Device,HD streaming device for accessing popular services.,Electronics,49.99
350e2318-74df-4d96-ad2e-419c4e858c39,Cotton Tote Bag Set,Reusable tote bags for shopping and eco-friendly living.,Accessories,29.99
ed00aa70-7b44-418c-981c-5e1f697878c6,Safety Goggles,Protective goggles for DIY and construction work.,Safety,14.99
69217697-48e4-4579-8062-d77a164e8817,Adjustable Bar Stools,Stylish bar stools with adjustable height and swivel features.,Furniture,149.99
4193f0af-3291-4c50-8d62-85726c584e3a,Sliced Provolone Cheese,Mild cheese great for sandwiches.,Food - Dairy,3.99
547019ba-c6c8-4de7-9c24-e45013d9a181,Lightweight Workout Tank,Breathable tank top perfect for workouts or casual wear.,Clothing - Activewear,29.99
282ab613-a329-4d76-9291-d15554c51e1d,Pasta Portion Control Measure,Tool for measuring perfect pasta portions every time.,Kitchen,9.99
03fe12a2-92c3-4b72-a4ae-5c5594b6a2a5,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",Food - Condiments,4.29
a6162b01-9185-4ddb-85d3-66a7dfef8803,Compact Electric Kettle,Quick-boiling kettle for home and office use.,Kitchen,29.99
aec7e5dd-e499-4efa-86eb-4cdc44553bda,Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,Food,29.99
c0ba879f-c199-43af-b34c-48aa514f0e85,Portable Charger with Solar Panel,Eco-friendly charger with a built-in solar panel for outdoor use.,Electronics,45.99
ca21cdad-c216-4335-ba3b-66d9b470241c,Pet Grooming Brush,Self-cleaning grooming brush for cats and dogs.,Pets,19.99
bd1ee434-d179-4ca9-808e-848d98225ad9,Kale Salad with Lemon Dressing,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",Food - Salads,4.99
3a023eea-3664-4201-ba28-666f57ec0ac1,Basic V-Neck T-Shirt,A staple v-neck t-shirt that pairs well with anything.,Clothing - Tops,19.99
44cd2bd1-a15d-4cf2-ba81-9ed9e7d44291,Crispy Kale Chips,"Baked kale chips seasoned for a healthy, crunchy snack.",Food - Snacks,2.99
82d83e5e-1d25-4400-9023-8cbd14b51a8e,Pet Carrier,Comfortable pet carrier for travel and vet visits.,Pets,39.99
35ae352d-e90c-463e-8201-15f21376272a,Handmade Soap Making Kit,Complete kit for crafting your own scented soaps.,Crafts,34.99
be5c2fbd-bf97-49de-bca6-68d72785b34c,Travel Document Organizer,"Organize travel documents, passport, and cards.",Travel,15.99
b8fd27da-4452-4a53-959d-aa7119a4e558,Spinach and Feta Stuffed Chicken Breast,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",Food - Meat,8.99
4734578f-4a52-4deb-86a2-4fbfa88ef73e,Compressible Packing Cubes,Organizational cubes for easy packing and travel.,Travel,29.99
faa75e9a-9bd7-4d5a-b898-576f60a61bff,Savory Italian Herbs,A blend of dried Italian herbs for cooking.,Food - Spices,2.99
d9bd2f96-eb95-4f02-8d11-4e8ed89a494a,Beef Sirloin Steak,"Juicy and tender beef sirloin steak, grass-fed.",Food - Meat,15.99
6030a717-3210-41e3-a21f-e620320191d9,Lightweight Workout Tank,Breathable tank top perfect for workouts or casual wear.,Clothing - Activewear,29.99
80e3b993-74b7-4d05-9d39-c69c1910b1ac,Freestanding Wine Rack,Stylish wine rack to store and display bottles.,Home,79.99
16c7da97-bd07-4c45-8f3a-3a0574b6460d,Saffron Rice Mix,Flavorful rice mix with saffron and spices.,Food - Grains,2.99
210824ca-2a07-4283-9648-47d68f7f5b44,Spinach Pizza Rolls,"Frozen pizza rolls stuffed with spinach and cheese, perfect for snacking.",Food - Frozen Foods,4.99
bcfb7e0b-37ec-4429-80ea-aa7b2f2950ce,Coffee Maker,Single-serve coffee maker with a built-in grinder.,Kitchen,89.99
ddf19b4e-39f8-4557-9cee-45eb00fd83d7,Ground Cinnamon,Freshly ground cinnamon spice for baking or seasoning.,Food - Spices,1.99
c5f12409-e088-4fd9-9d7b-50693ed8d9f0,Bicycle Lock,Heavy-duty bicycle lock for security.,Bicycles,29.99
ecc434bb-dd84-4e84-ba75-2e71a0046542,Backpacking Tent,Lightweight and durable tent for camping trips.,Outdoor,109.99
6d466768-114b-412e-8865-4058f598700c,Californian Raisins,"Sweet dried raisins, perfect for snacks or baking.",Food - Dried Fruits,3.19
81521984-29a1-4204-bb8e-1064c536ff64,Beef Chili,"Hearty beef chili, ready to heat and eat.",Food - Canned Goods,4.5
a0328df4-248b-402d-885a-483eecd76042,Window Bird Feeder,Suction cup bird feeder for close-up bird watching.,Outdoor,19.99
8227d8e3-90cd-4c88-ae32-2e04206e1657,Greek Yogurt,Creamy Greek yogurt packed with protein and probiotics.,Food - Dairy,1.99
05707853-4afd-4f65-a7e6-16441f2387a0,Cranberry Citrus Sauce,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",Food - Condiments,3.99
c21d6377-2b63-4f03-9d80-11723e5435b0,Electric Food Steamer,Electric food steamer for healthy cooking.,Kitchen,59.99
76f9ee17-6a09-4719-977d-457daebcf75e,Honey Nut Cheerios,Classic cereal made with whole grains and honey.,Food - Cereal,4.29
8efffb0b-0b77-493f-b874-a48b985a8998,Honey Nut Cheerios,Classic cereal made with whole grains and honey.,Food - Cereal,4.29
ea028e5d-593f-428d-a8fd-f01fe32adc07,Outdoor Sports Backpack,Durable backpack designed for hiking and outdoor excursions.,Outdoor,49.99
fb284fc7-b84d-424c-9457-97a1ea50ffae,Spinach and Feta Stuffed Chicken Breast,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",Food - Meat,8.99
80632a12-ca80-48b3-ad92-8c7b75db657f,Hummus,"Creamy chickpea dip, perfect for veggies or pita.",Food - Snacks,4.29
90aa21ae-d5c5-44d9-9ace-6877521701bd,DIY Candle Making Kit,Everything you need to make your own candles.,Crafts,22.99
45d43e94-e947-43d9-a651-4e006624938d,Customizable Photo Calendar,Personalized calendar with your favorite photos.,Books,19.99
9d7d1326-0139-427a-9ddb-475bea4eed79,Couscous,"Quick-cooking couscous, great as a side or base.",Food - Grains,2.49
ed7eb0ab-f701-48a9-9f27-3b8b4a258ea9,Jalapeño Cornbread,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,Food - Bakery,3.29
3a2d70ce-31b7-4331-be5f-bc00d4742d04,Spinach and Feta Wraps,Whole wheat wraps filled with spinach and feta cheese.,Food - Prepared Foods,4.99
a5637505-74b6-4a96-9cf1-c4ab45af4076,Electric Heating Pad,Microwaveable heating pad for muscle pain relief and relaxation.,Health,20.99
14fb5c26-1e10-4942-8d4e-68ca7d640cb6,Garlic Herb Seasoning,A blend of herbs and garlic for seasoning meats and vegetables.,Food - Spices,1.99
567bafad-8d88-40bd-90bf-06c714c86d7a,Caraway Rye Bread,Artisan bread with caraway seeds for added flavor.,Food - Bakery,4.79
f869b653-34cd-4531-9ff5-56011a10d1dd,Spinach and Ricotta Ravioli,Delicious ravioli filled with creamy ricotta and fresh spinach.,Food - Pasta,6.49
e1bdc287-71f7-4d2c-b418-6a0517046147,Peanut Butter Pretzel Nuggets,Crunchy pretzel nuggets filled with creamy peanut butter.,Food - Snacks,3.29
c5ae6a1c-7ebd-49e4-8107-47e5e8798eac,Pet Travel Bed,Portable bed for pets while traveling.,Pets,26.99
1f4d918e-421a-4661-8ad5-ec50e23df6fb,Creamy Ranch Dressing,Classic ranch dressing for salads and dipping.,Food - Dressings,2.49
6bd5fa5b-59ff-4f06-ad60-fc04433c4fdb,Collapsible Folding Chair,Lightweight and portable chair for camping or events.,Outdoor,29.99
86bf28fa-0f21-4cbb-91fb-bc7844efbbf4,Garden Hoses with Expandable Features,"Lightweight, expandable hoses for easy handling.",Garden,34.99
07fec176-7ce9-426f-ac83-0c77bd13a84f,Vegetarian Chili,"Hearty chili made with beans and vegetables, a savory meal option.",Food - Canned Goods,3.99
2c7bc06b-ccef-44d3-84f0-f2753d2fa062,Peach Preserves,"Sweet and fruity peach preserves, perfect for spreading on toast.",Food - Condiments,3.79
b442e7a4-343e-4e79-9289-04ffa784161f,Chocolate Raspberry Tart,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",Food - Bakery,9.99
3f6cf4fb-7f10-4114-b733-93b5bc219524,Bock Beer Mustard,"Flavorful mustard with a tangy kick, perfect for hot dogs and sandwiches.",Food - Condiments,2.29
18bf6356-0a91-4457-937d-289492a9f88c,Dried Fruit Medley,A delightful mix of dried fruits for trail mix or snacks.,Food - Snacks,5.49
f318f084-ad88-4f34-b9a0-e873ea65994e,Wireless Printer,Compact wireless printer for home use.,Office,99.99
08f8f9e6-23dc-40ce-88f8-d35a8f2a944d,Pita Bread,"Soft pita bread, perfect for sandwiches or dips.",Food - Bakery,2.99
4712572b-037b-42f7-993e-8554d80850bc,Foot Massager Machine,Electric foot massager for relaxation and relief.,Health,59.99
f46e7e2c-8de8-47cb-a9d6-13c0c3cce775,Strawberry Banana Smoothie Pack,Frozen smoothie pack with strawberries and bananas.,Food - Frozen,4.99
4202ae8d-5824-486f-bd23-37c179af1fae,Eco-Friendly Disposable Plates,Compostable plates suitable for various occasions.,Kitchen,22.99
697040d8-e9cf-4bc4-8b79-b5db7770a150,Reusable Coffee Filter,Eco-friendly coffee filter for brewing.,Kitchen,10.99
0a5b3672-7ac4-4dcd-9527-6303baa74634,Set of Measuring Spoons,Stainless steel measuring spoons set for cooking.,Kitchen,12.99
d8db72db-5b00-4cb9-89d3-2119f75a44f3,Sustainable Wooden Toys,Eco-friendly toys for learning and imaginative play.,Toys,29.99
6f9d3d76-2f2e-4908-8df3-69092d0a5b65,Ski Goggles,Anti-fog ski goggles for winter sports.,Sports,49.99
fe6686ae-7d58-403b-9310-f85e55b5b9d5,Pork Chops,"Tender and juicy pork chops, perfect on the grill.",Food - Meat,9.49
d52b5d97-395f-44f7-9f64-d27b8d3d3be5,Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",Clothing - Activewear,29.99
a0c00025-faf7-4452-97ba-f5d53d3e8b8a,Beet Salad,"Ready-to-eat beet salad with dressing, great side dish.",Food - Prepared Foods,3.99
e08bb5b6-1b89-4129-8741-16b02114e0d4,Adjustable Pet Grooming Table,Professional grooming table with adjustable height.,Pets,109.99
3a7a2243-9361-49af-b295-b4ecebdb2ab9,Compact Dishwasher,Countertop dishwasher for small kitchens.,Home Appliances,299.99
2f8933d4-eb8a-47ec-8104-d89cb5c2c7fc,Eco-Friendly Notepad,Notepad made from recycled paper for sustainable note-taking.,Office,8.99
e3913469-93ca-4cf0-a546-3d8f8ff9c266,Collapsible Water Bottle,Space-saving collapsible bottle for outdoor activities.,Fitness,12.99
285eecc1-f583-4491-a298-1cd261dc80a2,Hummus Trio Pack,"A variety pack of classic, roasted red pepper, and garlic hummus.",Food - Snacks,5.49
14e55bd8-fa41-48fa-abdd-8bcac99be41a,Couscous,"Quick-cooking couscous, great as a side or base.",Food - Grains,2.49
ae32566d-96d3-4df1-b9e2-b0926860299d,Protein Pancake Mix,A protein-packed pancake mix for a nutritious breakfast.,Food - Breakfast,3.99
27ac533c-7dfd-4ace-af4c-5238017ad2b5,Pecan Nuts,"Nutty, crunchy pecans great for baking.",Food - Snacks,6.49
4dcd34aa-22d6-46c3-9249-ed11cd585603,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",Food - Bakery,2.49
a8ee0464-cb5a-4d0c-8196-bbf2da68511f,Savory Pumpkin Soup,Creamy pumpkin soup with spices,Food - Soups,3.89
f0817d86-3bfd-4328-ae8c-933703aedfbb,Paint By Numbers Kit,Relaxing paint kit with pre-printed canvas for painting.,Art Supplies,24.99
ccf35199-ec11-46b5-812d-1801e85100dd,Dark Chocolate Tart,Decadent tart made with rich dark chocolate.,Food - Desserts,6.29
c9d846fd-8740-4313-86ed-f42b44e55f20,Inflatable Paddle Board,Lightweight and portable paddle board for water sports.,Outdoor,349.99
bca0ea8f-42d0-46aa-992d-496595d0a43f,Sliced Cucumbers,"Freshly sliced cucumbers, great for salads or snacking.",Food - Produce,1.29
8c618265-0ac8-4188-a65f-0bacd0f633af,Portable Bluetooth Speaker,Compact Bluetooth speaker with rich sound quality.,Audio,49.99
3bc66733-2be5-45bd-ab2d-50fcb392cb72,Red Lentil Pasta,"Gluten-free pasta made from red lentils, packed with protein.",Food - Pasta,3.99
dc86712b-bf95-4fe5-a86e-8b1a55ba095b,Cookbook,Inspiring cookbook with healthy recipes.,Books,27.99
