id,product_name,description,category,price
9331dbf3-2c33-47fc-b9d8-e3b53a04ec1b,Sporty Cap,Stylish cap to complete your athletic look.,Clothing - Accessories,15.99
b920565c-2150-42f8-800b-0f33c551eb1f,Salt and Pepper Grinder Set,Adjustable grinders for fresh spices at the table.,Kitchen,19.99
4292e884-c112-4e2b-b4e7-8ac41db6278f,Baby Safety Corner Guards,Soft corner protectors to keep babies safe at home.,Baby,9.99
1c1f9bc1-73d2-45c6-9e6d-7191c459d439,Rustic Italian Bread,"Freshly baked rustic bread, perfect for sandwiches or dipping in olive oil.",Food - Bakery,3.59
0092da51-a4d0-409c-bdf0-8ce67a54a36e,Self-Adhesive Wallpaper,Peel and stick wallpaper for easy home decor changes.,Home,34.99
4b3d16ff-1cc3-45ea-b22e-3f309ca4c55f,Paprika,Rich and sweet paprika spice for seasoning.,Food - Spices,1.79
9213e16e-1ac2-4643-bbf2-cb346dcf0722,Portable Air Compressor,Compact air compressor for inflating tires and sports equipment.,Automotive,44.99
ddc106df-073d-4c14-8760-bdad90220a94,Spicy Tuna Salad,"Ready-to-eat tuna salad with a spicy kick, perfect for sandwiches.",Food - Seafood,4.49
2397dba7-f197-4ab6-9472-88458e9235a6,Smartphone Tripod with Bluetooth Remote,Tripod with wireless remote for effortless photo-taking.,Photography,29.99
0aecbf5f-02e8-47db-9044-3df575f66473,Honey BBQ Ribs,Tender ribs smothered in a honey barbecue sauce.,Food - Meat,12.99
2619ade8-38e3-4c8f-aed0-774e74e9efbb,Buffalo Wing Sauce,Spicy sauce perfect for chicken wings and dipping.,Food - Condiments,3.99
320758db-ab9a-4ca6-b02b-9a26e965eab9,Portable Pet Bathing Tool,Handheld sprayer designed for washing pets easily.,Pets,29.99
8c10200b-bdea-41f4-852f-214354dd2013,Wooden Toy Train Set,Classic wooden train set for imaginative play.,Toys,29.99
dd48bf74-c045-4744-872a-be57db5e7ac7,Honey Lemon Tea,"Refreshing tea with honey and lemon flavor, perfect for a warm drink.",Food - Beverages,3.29
2a56a02b-cd50-4726-8f43-6c1cd85d520d,Organic Spinach,"Fresh organic spinach, great for salads or cooking.",Food - Produce,2.99
f69d6247-495d-49ad-bb49-ada0028752e2,Leather Biker Jacket,Stylish black leather jacket featuring a zip-up front and multiple pockets.,Clothing - Outerwear,129.99
4b398108-4b11-4d32-a107-e25ad513b050,Nutty Quinoa Salad,"A delicious salad with quinoa, nuts, and cranberries.",Food - Salads,4.99
0475b4a4-5c50-4991-96fa-6256ebd98b99,Car Trash Can,Compact trash can for keeping your car clean.,Automotive,12.99
c379fb93-e866-4814-abc9-fd2ea046b306,Grass Fed Beef Patties,Juicy burger patties made with grass-fed beef,Food - Meat,9.99
bccf06b5-20fe-4248-ba60-774589ab1ced,Electric Blanket,Extra soft electric blanket with adjustable heat settings.,Home,59.99
9b4bff92-26a0-42cd-afdf-5914fc9d5e9b,Rechargeable Electric Screwdriver,Convenient electric screwdriver for DIY projects at home.,Tools,39.99
4f358236-cfc6-47e2-8645-14baff76bd4f,Toilet Paper (12 rolls),Soft and strong toilet paper for everyday use.,Food - Household,8.99
68e4b682-397e-48b9-a604-7e8627f59fb9,Portable Air Compressor,Compact air compressor for inflating tires and sports equipment.,Automotive,44.99
